Number of features,Selected features,Accuracy,Precision,Recall,F1-score,ROC-AUC
1,PPE,0.8330645161290324,0.8782051282051283,0.9068840579710145,0.8918186423505572,0.8261419513457557
2,"PPE, spread1",0.859274193548387,0.881960113960114,0.9409420289855073,0.9096666666666666,0.8750614648033125
3,"PPE, spread1, MDVP:Fo(Hz)",0.9040322580645161,0.9212509712509712,0.9576086956521739,0.9376698690577063,0.9460856625258799
4,"PPE, spread1, MDVP:Fo(Hz), NHR",0.9169354838709678,0.9211794871794872,0.9746376811594203,0.9465918367346939,0.9370988612836438
5,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP",0.8915322580645162,0.9182730313165095,0.9405797101449276,0.9281135758651287,0.9167443064182195
6,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz)",0.9044354838709678,0.9288039368039369,0.9492753623188406,0.9367405017342906,0.9435364906832298
7,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz)",0.8913306451612903,0.9182730313165095,0.9402173913043479,0.9280930187677907,0.9408320393374741
8,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2",0.904233870967742,0.9202031462901028,0.9576086956521739,0.9373320999074931,0.9632666925465838
9,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5",0.9235887096774194,0.9292611173045955,0.975,0.9504680851063829,0.9658482142857142
10,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP",0.8977822580645162,0.9210702341137125,0.9489130434782609,0.933224331899104,0.9537267080745341
11,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2",0.8913306451612903,0.9049277839712623,0.9579710144927536,0.929712548849327,0.9497217908902691
12,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ",0.9171370967741936,0.9282834138486311,0.9663043478260869,0.9458644867752837,0.9497347308488614
13,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer",0.904233870967742,0.9202834138486311,0.9579710144927536,0.9377012214691611,0.9554347826086957
14,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA",0.9106854838709678,0.9144235104669887,0.975,0.9426217465709689,0.9581262939958591
15,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3",0.9171370967741936,0.9212611173045955,0.975,0.9463864524533218,0.9536328933747413
16,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3, RPDE",0.9171370967741936,0.9209790660225442,0.975,0.9462268056158634,0.9585015527950311
17,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3, RPDE, MDVP:PPQ",0.8977822580645162,0.9118394648829431,0.9579710144927536,0.9336553770444347,0.9485151397515528
18,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3, RPDE, MDVP:PPQ, MDVP:Jitter(Abs)",0.9106854838709678,0.9135944506379289,0.975,0.9423084382689245,0.9557388716356108
19,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3, RPDE, MDVP:PPQ, MDVP:Jitter(Abs), HNR",0.8915322580645162,0.9047526547526548,0.9579710144927536,0.9291470860314522,0.9501423395445135
20,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3, RPDE, MDVP:PPQ, MDVP:Jitter(Abs), HNR, MDVP:Jitter(%)",0.9106854838709678,0.9138765019199802,0.975,0.9424680851063829,0.9549301242236025
21,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3, RPDE, MDVP:PPQ, MDVP:Jitter(Abs), HNR, MDVP:Jitter(%), MDVP:Shimmer(dB)",0.8977822580645162,0.9123123993558776,0.9579710144927536,0.9336309161962657,0.9451022256728778
22,"PPE, spread1, MDVP:Fo(Hz), NHR, Jitter:DDP, MDVP:Fhi(Hz), MDVP:Flo(Hz), spread2, Shimmer:APQ5, MDVP:RAP, D2, MDVP:APQ, MDVP:Shimmer, Shimmer:DDA, Shimmer:APQ3, RPDE, MDVP:PPQ, MDVP:Jitter(Abs), HNR, MDVP:Jitter(%), MDVP:Shimmer(dB), DFA",0.8850806451612904,0.9114929000146391,0.941304347826087,0.9247275953859806,0.9535908385093167
